;open_time;Open;High;Low;Close;Volume;close_time
2021-09-21 12:59:59.999;1632236400000.0;42429.75;43315.0;42317.0;43072.81;2531;1632239999999.0
2021-09-21 13:59:59.999;1632240000000.0;43072.81;43295.66;42360.46;42446.3;2542;1632243599999.0
2021-09-21 14:59:59.999;1632243600000.0;42446.3;42595.0;41502.0;41691.42;4137;1632247199999.0
2021-09-21 15:59:59.999;1632247200000.0;41691.43;42831.7;41628.0;42196.41;4595;1632250799999.0
2021-09-21 16:59:59.999;1632250800000.0;42196.41;42484.47;41705.13;42013.63;2603;1632254399999.0
2021-09-21 17:59:59.999;1632254400000.0;42010.81;42331.87;40738.63;40960.32;5540;1632257999999.0
2021-09-21 18:59:59.999;1632258000000.0;40960.32;41963.44;39600.0;41379.1;8654;1632261599999.0
2021-09-21 19:59:59.999;1632261600000.0;41379.11;41650.6;40451.23;40508.13;4254;1632265199999.0
2021-09-21 20:59:59.999;1632265200000.0;40520.0;41061.75;40216.2;40734.38;5002;1632268799999.0
2021-09-21 21:59:59.999;1632268800000.0;40734.09;41487.66;40565.39;41017.29;4446;1632272399999.0
2021-09-21 22:59:59.999;1632272400000.0;41019.67;42360.0;40806.68;42199.99;4958;1632275999999.0
2021-09-21 23:59:59.999;1632276000000.0;42200.0;42288.04;41891.69;42030.0;1919;1632279599999.0
2021-09-22 00:59:59.999;1632279600000.0;42028.42;42420.75;42000.0;42052.09;2202;1632283199999.0
2021-09-22 01:59:59.999;1632283200000.0;42055.55;42215.97;41820.01;41890.0;1755;1632286799999.0
2021-09-22 02:59:59.999;1632286800000.0;41890.01;42220.0;41840.0;42018.73;1460;1632290399999.0
2021-09-22 03:59:59.999;1632290400000.0;42018.7;42369.99;41860.03;42326.66;1778;1632293999999.0
2021-09-22 04:59:59.999;1632294000000.0;42326.65;42749.4;42129.19;42540.0;2663;1632297599999.0
2021-09-22 05:59:59.999;1632297600000.0;42541.23;42618.55;42229.51;42289.81;1752;1632301199999.0
2021-09-22 06:59:59.999;1632301200000.0;42289.81;42448.7;42117.23;42389.81;1703;1632304799999.0
2021-09-22 07:59:59.999;1632304800000.0;42389.82;42499.99;41952.0;42153.04;1707;1632308399999.0
2021-09-22 08:59:59.999;1632308400000.0;42153.04;42205.0;41841.46;41928.32;1725;1632311999999.0
2021-09-22 09:59:59.999;1632312000000.0;41928.31;42240.06;41874.65;42184.75;1345;1632315599999.0
2021-09-22 10:59:59.999;1632315600000.0;42184.75;42675.46;42064.28;42372.29;2335;1632319199999.0
2021-09-22 11:59:59.999;1632319200000.0;42372.3;42596.37;42271.36;42317.02;2718;1632322799999.0
